,name,date,time,genre,imdb,metascore
230,Letters from Iwo Jima,2006,141,"
Action, Adventure, Drama            ",7.9,89
231,The Fall,2006,117,"
Adventure, Drama, Fantasy            ",7.9,64
232,Life of Pi,2012,127,"
Adventure, Drama, Fantasy            ",7.9,79
233,Fantastic Mr. Fox,2009,87,"
Animation, Adventure, Comedy            ",7.9,83
234,C.R.A.Z.Y.,2005,127,"
Comedy, Drama            ",7.9,81
235,Les choristes,2004,97,"
Drama, Music            ",7.9,56
236,Iron Man,2008,126,"
Action, Adventure, Sci-Fi            ",7.9,79
237,Shaun of the Dead,2004,99,"
Comedy, Horror            ",7.9,76
238,Gegen die Wand,2004,121,"
Drama, Romance            ",7.9,78
239,Mystic River,2003,138,"
Crime, Drama, Mystery            ",7.9,84
240,Harry Potter and the Prisoner of Azkaban,2004,142,"
Adventure, Family, Fantasy            ",7.9,82
241,Ying xiong,2002,120,"
Action, Adventure, History            ",7.9,85
242,Hable con ella,2002,112,"
Drama, Mystery, Romance            ",7.9,86
243,No Man's Land,I) (2001,98,"
Comedy, Drama, War            ",7.9,84
244,Cowboy Bebop: Tengoku no tobira,2001,115,"
Animation, Action, Crime            ",7.9,61
245,The Bourne Identity,2002,119,"
Action, Mystery, Thriller            ",7.9,68
246,Nueve reinas,2000,114,"
Crime, Drama, Thriller            ",7.9,80
247,Children of Men,2006,109,"
Drama, Sci-Fi, Thriller            ",7.9,84
248,Almost Famous,2000,122,"
Adventure, Comedy, Drama            ",7.9,90
249,Toy Story 2,1999,92,"
Animation, Adventure, Comedy            ",7.9,88
250,Boogie Nights,1997,155,"
Drama            ",7.9,85
251,Mimi wo sumaseba,1995,111,"
Animation, Drama, Family            ",7.9,75
252,Once Were Warriors,1994,102,"
Crime, Drama            ",7.9,77
253,True Romance,1993,119,"
Crime, Drama, Romance            ",7.9,59
254,Trois couleurs: Bleu,1993,94,"
Drama, Music, Mystery            ",7.9,85
255,Carlito's Way,1993,144,"
Crime, Drama, Thriller            ",7.9,65
256,Edward Scissorhands,1990,105,"
Drama, Fantasy, Romance            ",7.9,74
257,My Left Foot: The Story of Christy Brown,1989,103,"
Biography, Drama            ",7.9,97
258,Do the Right Thing,1989,120,"
Comedy, Drama            ",7.9,93
259,Crimes and Misdemeanors,1989,104,"
Comedy, Drama            ",7.9,77
260,The Untouchables,1987,119,"
Crime, Drama, Thriller            ",7.9,79
261,Hannah and Her Sisters,1986,107,"
Comedy, Drama            ",7.9,90
262,The Breakfast Club,1985,97,"
Comedy, Drama            ",7.9,66
263,Brazil,1985,132,"
Drama, Sci-Fi            ",7.9,84
264,This Is Spinal Tap,1984,82,"
Comedy, Music            ",7.9,92
265,A Christmas Story,1983,94,"
Comedy, Family            ",7.9,77
266,The Blues Brothers,1980,133,"
Adventure, Comedy, Crime            ",7.9,60
267,Manhattan,1979,96,"
Comedy, Drama, Romance            ",7.9,83
268,All That Jazz,1979,123,"
Drama, Music, Musical            ",7.9,72
269,Dawn of the Dead,1978,127,"
Action, Adventure, Horror            ",7.9,71
270,Le charme discret de la bourgeoisie,1972,102,"
Comedy            ",7.9,93
271,Harold and Maude,1971,91,"
Comedy, Drama, Romance            ",7.9,62
272,Patton,1970,172,"
Biography, Drama, War            ",7.9,91
273,The Wild Bunch,1969,135,"
Action, Adventure, Western            ",7.9,97
274,Night of the Living Dead,1968,96,"
Horror, Thriller            ",7.9,89
275,In the Heat of the Night,1967,110,"
Crime, Drama, Mystery            ",7.9,75
276,Charade,1963,113,"
Comedy, Mystery, Romance            ",7.9,83
277,The Manchurian Candidate,1962,126,"
Drama, Thriller            ",7.9,94
278,Spartacus,1960,197,"
Adventure, Biography, Drama            ",7.9,87
279,The Searchers,1956,119,"
Adventure, Drama, Western            ",7.9,94
280,East of Eden,1955,118,"
Drama            ",7.9,72
281,High Noon,1952,85,"
Drama, Thriller, Western            ",7.9,89
282,Miracle on 34th Street,1947,96,"
Comedy, Drama, Family            ",7.9,88
283,Notorious,1946,102,"
Drama, Film-Noir, Romance            ",7.9,100
284,The Philadelphia Story,1940,112,"
Comedy, Romance            ",7.9,96
285,Stagecoach,1939,96,"
Adventure, Drama, Western            ",7.9,93
286,Bringing Up Baby,1938,102,"
Comedy, Family, Romance            ",7.9,91
287,The Adventures of Robin Hood,1938,102,"
Action, Adventure, Romance            ",7.9,97
288,King Kong,1933,100,"
Adventure, Horror, Sci-Fi            ",7.9,90
289,Freaks,1932,64,"
Drama, Horror            ",7.9,80
290,Forushande,2016,124,"
Drama, Thriller            ",7.8,85
291,Hidden Figures,2016,127,"
Biography, Drama, History            ",7.8,74
292,Paddington 2,2017,103,"
Adventure, Comedy, Family            ",7.8,88
293,Kubo and the Two Strings,2016,101,"
Animation, Action, Adventure            ",7.8,84
294,Manchester by the Sea,2016,137,"
Drama            ",7.8,96
295,Under sandet,2015,100,"
Drama, History, War            ",7.8,75
296,Rogue One,2016,133,"
Action, Adventure, Sci-Fi            ",7.8,65
